nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt
Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Valid Epoch 24 | [33632/50000 (67.26%)] Loss 0.0551, Accuaracy 67.09%
Valid Epoch 24 | [35232/50000 (70.46%)] Loss 0.0548, Accuaracy 67.17%
Valid Epoch 24 | [36832/50000 (73.66%)] Loss 0.0550, Accuaracy 67.06%
Valid Epoch 24 | [38432/50000 (76.86%)] Loss 0.0550, Accuaracy 67.05%
Valid Epoch 24 | [40032/50000 (80.06%)] Loss 0.0550, Accuaracy 67.03%
Valid Epoch 24 | [41632/50000 (83.26%)] Loss 0.0550, Accuaracy 67.00%
Valid Epoch 24 | [43232/50000 (86.46%)] Loss 0.0551, Accuaracy 66.99%
Valid Epoch 24 | [44832/50000 (89.66%)] Loss 0.0550, Accuaracy 66.99%
Valid Epoch 24 | [46432/50000 (92.86%)] Loss 0.0550, Accuaracy 66.97%
Valid Epoch 24 | [48032/50000 (96.06%)] Loss 0.0550, Accuaracy 66.97%
Valid Epoch 24 | [49632/50000 (99.26%)] Loss 0.0550, Accuaracy 66.99%
Valid Epoch 24 | Avarage Loss 0.0550, Average Accuracy 66.98%
Train Epoch 25 | [64/732000 (0.01%)] Loss 0.0039, Accuaracy 92.19%
Train Epoch 25 | [12864/732000 (1.76%)] Loss 0.0045, Accuaracy 91.44%
Train Epoch 25 | [25664/732000 (3.51%)] Loss 0.0044, Accuaracy 91.32%
Train Epoch 25 | [38464/732000 (5.25%)] Loss 0.0044, Accuaracy 91.37%
Train Epoch 25 | [51264/732000 (7.00%)] Loss 0.0044, Accuaracy 91.37%
Train Epoch 25 | [64064/732000 (8.75%)] Loss 0.0044, Accuaracy 91.31%
Train Epoch 25 | [76864/732000 (10.50%)] Loss 0.0043, Accuaracy 91.39%
Train Epoch 25 | [89664/732000 (12.25%)] Loss 0.0044, Accuaracy 91.31%
Train Epoch 25 | [102464/732000 (14.00%)] Loss 0.0045, Accuaracy 91.20%
Train Epoch 25 | [115264/732000 (15.75%)] Loss 0.0045, Accuaracy 91.13%
Train Epoch 25 | [128064/732000 (17.50%)] Loss 0.0046, Accuaracy 91.05%
Train Epoch 25 | [140864/732000 (19.24%)] Loss 0.0046, Accuaracy 90.99%
Train Epoch 25 | [153664/732000 (20.99%)] Loss 0.0046, Accuaracy 90.95%
Train Epoch 25 | [166464/732000 (22.74%)] Loss 0.0046, Accuaracy 90.89%
Train Epoch 25 | [179264/732000 (24.49%)] Loss 0.0047, Accuaracy 90.84%
Train Epoch 25 | [192064/732000 (26.24%)] Loss 0.0047, Accuaracy 90.76%
Train Epoch 25 | [204864/732000 (27.99%)] Loss 0.0047, Accuaracy 90.71%
Train Epoch 25 | [217664/732000 (29.74%)] Loss 0.0047, Accuaracy 90.68%
Train Epoch 25 | [230464/732000 (31.48%)] Loss 0.0047, Accuaracy 90.64%
Train Epoch 25 | [243264/732000 (33.23%)] Loss 0.0048, Accuaracy 90.61%
Train Epoch 25 | [256064/732000 (34.98%)] Loss 0.0048, Accuaracy 90.57%
Train Epoch 25 | [268864/732000 (36.73%)] Loss 0.0048, Accuaracy 90.51%
Train Epoch 25 | [281664/732000 (38.48%)] Loss 0.0048, Accuaracy 90.48%
Train Epoch 25 | [294464/732000 (40.23%)] Loss 0.0048, Accuaracy 90.44%
Train Epoch 25 | [307264/732000 (41.98%)] Loss 0.0049, Accuaracy 90.40%
Train Epoch 25 | [320064/732000 (43.72%)] Loss 0.0049, Accuaracy 90.37%
Train Epoch 25 | [332864/732000 (45.47%)] Loss 0.0049, Accuaracy 90.34%
Train Epoch 25 | [345664/732000 (47.22%)] Loss 0.0049, Accuaracy 90.31%
Train Epoch 25 | [358464/732000 (48.97%)] Loss 0.0049, Accuaracy 90.28%
Train Epoch 25 | [371264/732000 (50.72%)] Loss 0.0049, Accuaracy 90.25%
Train Epoch 25 | [384064/732000 (52.47%)] Loss 0.0049, Accuaracy 90.22%
Train Epoch 25 | [396864/732000 (54.22%)] Loss 0.0050, Accuaracy 90.18%
Train Epoch 25 | [409664/732000 (55.97%)] Loss 0.0050, Accuaracy 90.17%
Train Epoch 25 | [422464/732000 (57.71%)] Loss 0.0050, Accuaracy 90.16%
Train Epoch 25 | [435264/732000 (59.46%)] Loss 0.0050, Accuaracy 90.14%
Train Epoch 25 | [448064/732000 (61.21%)] Loss 0.0050, Accuaracy 90.11%
Train Epoch 25 | [460864/732000 (62.96%)] Loss 0.0050, Accuaracy 90.08%
Train Epoch 25 | [473664/732000 (64.71%)] Loss 0.0050, Accuaracy 90.05%
Train Epoch 25 | [486464/732000 (66.46%)] Loss 0.0050, Accuaracy 90.04%
Train Epoch 25 | [499264/732000 (68.21%)] Loss 0.0051, Accuaracy 90.02%
Train Epoch 25 | [512064/732000 (69.95%)] Loss 0.0051, Accuaracy 89.99%
Train Epoch 25 | [524864/732000 (71.70%)] Loss 0.0051, Accuaracy 89.97%
Train Epoch 25 | [537664/732000 (73.45%)] Loss 0.0051, Accuaracy 89.95%
Train Epoch 25 | [550464/732000 (75.20%)] Loss 0.0051, Accuaracy 89.94%
Train Epoch 25 | [563264/732000 (76.95%)] Loss 0.0051, Accuaracy 89.93%
Train Epoch 25 | [576064/732000 (78.70%)] Loss 0.0051, Accuaracy 89.91%
Train Epoch 25 | [588864/732000 (80.45%)] Loss 0.0051, Accuaracy 89.89%
Train Epoch 25 | [601664/732000 (82.19%)] Loss 0.0051, Accuaracy 89.86%
Train Epoch 25 | [614464/732000 (83.94%)] Loss 0.0051, Accuaracy 89.84%
Train Epoch 25 | [627264/732000 (85.69%)] Loss 0.0052, Accuaracy 89.82%
Train Epoch 25 | [640064/732000 (87.44%)] Loss 0.0052, Accuaracy 89.79%
Train Epoch 25 | [652864/732000 (89.19%)] Loss 0.0052, Accuaracy 89.78%
Train Epoch 25 | [665664/732000 (90.94%)] Loss 0.0052, Accuaracy 89.77%
Train Epoch 25 | [678464/732000 (92.69%)] Loss 0.0052, Accuaracy 89.75%
Train Epoch 25 | [691264/732000 (94.43%)] Loss 0.0052, Accuaracy 89.73%
Train Epoch 25 | [704064/732000 (96.18%)] Loss 0.0052, Accuaracy 89.71%
Train Epoch 25 | [716864/732000 (97.93%)] Loss 0.0052, Accuaracy 89.69%
Train Epoch 25 | [729664/732000 (99.68%)] Loss 0.0052, Accuaracy 89.66%
Train Epoch 25 | Avarage Loss 0.0052, Average Accuracy 89.66%
Valid Epoch 25 | [32/50000 (0.06%)] Loss 0.0786, Accuaracy 65.62%
Valid Epoch 25 | [1632/50000 (3.26%)] Loss 0.0605, Accuaracy 66.67%
Valid Epoch 25 | [3232/50000 (6.46%)] Loss 0.0612, Accuaracy 66.09%
Valid Epoch 25 | [4832/50000 (9.66%)] Loss 0.0590, Accuaracy 66.56%
Valid Epoch 25 | [6432/50000 (12.86%)] Loss 0.0593, Accuaracy 66.59%
Valid Epoch 25 | [8032/50000 (16.06%)] Loss 0.0588, Accuaracy 66.86%
Valid Epoch 25 | [9632/50000 (19.26%)] Loss 0.0582, Accuaracy 67.06%
Valid Epoch 25 | [11232/50000 (22.46%)] Loss 0.0577, Accuaracy 67.03%
Valid Epoch 25 | [12832/50000 (25.66%)] Loss 0.0576, Accuaracy 66.83%
Valid Epoch 25 | [14432/50000 (28.86%)] Loss 0.0577, Accuaracy 66.78%
Valid Epoch 25 | [16032/50000 (32.06%)] Loss 0.0580, Accuaracy 66.81%
Valid Epoch 25 | [17632/50000 (35.26%)] Loss 0.0579, Accuaracy 66.82%
Valid Epoch 25 | [19232/50000 (38.46%)] Loss 0.0580, Accuaracy 66.86%
Valid Epoch 25 | [20832/50000 (41.66%)] Loss 0.0579, Accuaracy 66.97%
Valid Epoch 25 | [22432/50000 (44.86%)] Loss 0.0580, Accuaracy 66.96%
Valid Epoch 25 | [24032/50000 (48.06%)] Loss 0.0579, Accuaracy 66.98%
Valid Epoch 25 | [25632/50000 (51.26%)] Loss 0.0580, Accuaracy 66.97%
Valid Epoch 25 | [27232/50000 (54.46%)] Loss 0.0579, Accuaracy 66.87%
Valid Epoch 25 | [28832/50000 (57.66%)] Loss 0.0580, Accuaracy 66.93%
Valid Epoch 25 | [30432/50000 (60.86%)] Loss 0.0580, Accuaracy 66.98%
Valid Epoch 25 | [32032/50000 (64.06%)] Loss 0.0576, Accuaracy 67.10%
Valid Epoch 25 | [33632/50000 (67.26%)] Loss 0.0579, Accuaracy 67.03%
Valid Epoch 25 | [35232/50000 (70.46%)] Loss 0.0576, Accuaracy 67.09%
Valid Epoch 25 | [36832/50000 (73.66%)] Loss 0.0573, Accuaracy 67.14%
Valid Epoch 25 | [38432/50000 (76.86%)] Loss 0.0571, Accuaracy 67.23%
Valid Epoch 25 | [40032/50000 (80.06%)] Loss 0.0572, Accuaracy 67.19%
Valid Epoch 25 | [41632/50000 (83.26%)] Loss 0.0571, Accuaracy 67.21%
Valid Epoch 25 | [43232/50000 (86.46%)] Loss 0.0571, Accuaracy 67.13%
Valid Epoch 25 | [44832/50000 (89.66%)] Loss 0.0571, Accuaracy 67.19%
Valid Epoch 25 | [46432/50000 (92.86%)] Loss 0.0570, Accuaracy 67.23%
Valid Epoch 25 | [48032/50000 (96.06%)] Loss 0.0572, Accuaracy 67.20%
Valid Epoch 25 | [49632/50000 (99.26%)] Loss 0.0571, Accuaracy 67.22%
Valid Epoch 25 | Avarage Loss 0.0571, Average Accuracy 67.22%
Train Epoch 26 | [64/732000 (0.01%)] Loss 0.0053, Accuaracy 92.19%
Train Epoch 26 | [12864/732000 (1.76%)] Loss 0.0039, Accuaracy 91.90%
Train Epoch 26 | [25664/732000 (3.51%)] Loss 0.0040, Accuaracy 91.84%
Train Epoch 26 | [38464/732000 (5.25%)] Loss 0.0041, Accuaracy 91.66%
Train Epoch 26 | [51264/732000 (7.00%)] Loss 0.0041, Accuaracy 91.69%
Train Epoch 26 | [64064/732000 (8.75%)] Loss 0.0041, Accuaracy 91.61%
Train Epoch 26 | [76864/732000 (10.50%)] Loss 0.0041, Accuaracy 91.60%
Train Epoch 26 | [89664/732000 (12.25%)] Loss 0.0042, Accuaracy 91.51%
Train Epoch 26 | [102464/732000 (14.00%)] Loss 0.0043, Accuaracy 91.37%
Train Epoch 26 | [115264/732000 (15.75%)] Loss 0.0043, Accuaracy 91.30%
Train Epoch 26 | [128064/732000 (17.50%)] Loss 0.0043, Accuaracy 91.27%
Train Epoch 26 | [140864/732000 (19.24%)] Loss 0.0044, Accuaracy 91.22%
Train Epoch 26 | [153664/732000 (20.99%)] Loss 0.0044, Accuaracy 91.20%
Train Epoch 26 | [166464/732000 (22.74%)] Loss 0.0044, Accuaracy 91.17%
Train Epoch 26 | [179264/732000 (24.49%)] Loss 0.0044, Accuaracy 91.13%
Train Epoch 26 | [192064/732000 (26.24%)] Loss 0.0044, Accuaracy 91.08%
Train Epoch 26 | [204864/732000 (27.99%)] Loss 0.0045, Accuaracy 91.05%
Train Epoch 26 | [217664/732000 (29.74%)] Loss 0.0045, Accuaracy 91.01%
Train Epoch 26 | [230464/732000 (31.48%)] Loss 0.0045, Accuaracy 90.95%
Train Epoch 26 | [243264/732000 (33.23%)] Loss 0.0045, Accuaracy 90.94%
Train Epoch 26 | [256064/732000 (34.98%)] Loss 0.0045, Accuaracy 90.92%
Train Epoch 26 | [268864/732000 (36.73%)] Loss 0.0045, Accuaracy 90.89%
Train Epoch 26 | [281664/732000 (38.48%)] Loss 0.0046, Accuaracy 90.86%
Train Epoch 26 | [294464/732000 (40.23%)] Loss 0.0046, Accuaracy 90.84%
Train Epoch 26 | [307264/732000 (41.98%)] Loss 0.0046, Accuaracy 90.81%
Train Epoch 26 | [320064/732000 (43.72%)] Loss 0.0046, Accuaracy 90.77%
Train Epoch 26 | [332864/732000 (45.47%)] Loss 0.0046, Accuaracy 90.75%
Train Epoch 26 | [345664/732000 (47.22%)] Loss 0.0047, Accuaracy 90.72%
Train Epoch 26 | [358464/732000 (48.97%)] Loss 0.0047, Accuaracy 90.68%
Train Epoch 26 | [371264/732000 (50.72%)] Loss 0.0047, Accuaracy 90.66%
Train Epoch 26 | [384064/732000 (52.47%)] Loss 0.0047, Accuaracy 90.64%
Train Epoch 26 | [396864/732000 (54.22%)] Loss 0.0047, Accuaracy 90.62%
Train Epoch 26 | [409664/732000 (55.97%)] Loss 0.0047, Accuaracy 90.60%
Train Epoch 26 | [422464/732000 (57.71%)] Loss 0.0047, Accuaracy 90.60%
Train Epoch 26 | [435264/732000 (59.46%)] Loss 0.0047, Accuaracy 90.58%
Train Epoch 26 | [448064/732000 (61.21%)] Loss 0.0047, Accuaracy 90.55%
Train Epoch 26 | [460864/732000 (62.96%)] Loss 0.0047, Accuaracy 90.54%
Train Epoch 26 | [473664/732000 (64.71%)] Loss 0.0048, Accuaracy 90.53%
Train Epoch 26 | [486464/732000 (66.46%)] Loss 0.0048, Accuaracy 90.50%
Train Epoch 26 | [499264/732000 (68.21%)] Loss 0.0048, Accuaracy 90.48%
Train Epoch 26 | [512064/732000 (69.95%)] Loss 0.0048, Accuaracy 90.46%
Train Epoch 26 | [524864/732000 (71.70%)] Loss 0.0048, Accuaracy 90.43%
Train Epoch 26 | [537664/732000 (73.45%)] Loss 0.0048, Accuaracy 90.40%
Train Epoch 26 | [550464/732000 (75.20%)] Loss 0.0048, Accuaracy 90.39%
Train Epoch 26 | [563264/732000 (76.95%)] Loss 0.0048, Accuaracy 90.36%
Train Epoch 26 | [576064/732000 (78.70%)] Loss 0.0048, Accuaracy 90.34%
Train Epoch 26 | [588864/732000 (80.45%)] Loss 0.0049, Accuaracy 90.32%
Train Epoch 26 | [601664/732000 (82.19%)] Loss 0.0049, Accuaracy 90.30%
Train Epoch 26 | [614464/732000 (83.94%)] Loss 0.0049, Accuaracy 90.28%
Train Epoch 26 | [627264/732000 (85.69%)] Loss 0.0049, Accuaracy 90.26%
Train Epoch 26 | [640064/732000 (87.44%)] Loss 0.0049, Accuaracy 90.24%
Train Epoch 26 | [652864/732000 (89.19%)] Loss 0.0049, Accuaracy 90.22%
Train Epoch 26 | [665664/732000 (90.94%)] Loss 0.0049, Accuaracy 90.20%
Train Epoch 26 | [678464/732000 (92.69%)] Loss 0.0049, Accuaracy 90.19%
Train Epoch 26 | [691264/732000 (94.43%)] Loss 0.0049, Accuaracy 90.17%
Train Epoch 26 | [704064/732000 (96.18%)] Loss 0.0050, Accuaracy 90.16%
Train Epoch 26 | [716864/732000 (97.93%)] Loss 0.0050, Accuaracy 90.16%
Train Epoch 26 | [729664/732000 (99.68%)] Loss 0.0050, Accuaracy 90.14%
Train Epoch 26 | Avarage Loss 0.0050, Average Accuracy 90.13%
Valid Epoch 26 | [32/50000 (0.06%)] Loss 0.0920, Accuaracy 50.00%
Valid Epoch 26 | [1632/50000 (3.26%)] Loss 0.0578, Accuaracy 66.91%
Valid Epoch 26 | [3232/50000 (6.46%)] Loss 0.0583, Accuaracy 66.80%
Valid Epoch 26 | [4832/50000 (9.66%)] Loss 0.0580, Accuaracy 66.76%
Valid Epoch 26 | [6432/50000 (12.86%)] Loss 0.0583, Accuaracy 66.42%
Valid Epoch 26 | [8032/50000 (16.06%)] Loss 0.0588, Accuaracy 66.35%
Valid Epoch 26 | [9632/50000 (19.26%)] Loss 0.0590, Accuaracy 66.41%
Valid Epoch 26 | [11232/50000 (22.46%)] Loss 0.0584, Accuaracy 66.52%
Valid Epoch 26 | [12832/50000 (25.66%)] Loss 0.0593, Accuaracy 66.40%
Valid Epoch 26 | [14432/50000 (28.86%)] Loss 0.0586, Accuaracy 66.62%
Valid Epoch 26 | [16032/50000 (32.06%)] Loss 0.0584, Accuaracy 66.68%
Valid Epoch 26 | [17632/50000 (35.26%)] Loss 0.0584, Accuaracy 66.69%
Valid Epoch 26 | [19232/50000 (38.46%)] Loss 0.0577, Accuaracy 66.95%
Valid Epoch 26 | [20832/50000 (41.66%)] Loss 0.0578, Accuaracy 66.85%
Valid Epoch 26 | [22432/50000 (44.86%)] Loss 0.0579, Accuaracy 66.84%
Valid Epoch 26 | [24032/50000 (48.06%)] Loss 0.0575, Accuaracy 66.95%
Valid Epoch 26 | [25632/50000 (51.26%)] Loss 0.0578, Accuaracy 66.82%
Valid Epoch 26 | [27232/50000 (54.46%)] Loss 0.0577, Accuaracy 66.84%
Valid Epoch 26 | [28832/50000 (57.66%)] Loss 0.0577, Accuaracy 66.85%
Valid Epoch 26 | [30432/50000 (60.86%)] Loss 0.0576, Accuaracy 66.89%
Valid Epoch 26 | [32032/50000 (64.06%)] Loss 0.0575, Accuaracy 66.89%
Valid Epoch 26 | [33632/50000 (67.26%)] Loss 0.0574, Accuaracy 66.97%
Valid Epoch 26 | [35232/50000 (70.46%)] Loss 0.0574, Accuaracy 67.02%
Valid Epoch 26 | [36832/50000 (73.66%)] Loss 0.0572, Accuaracy 67.05%
Valid Epoch 26 | [38432/50000 (76.86%)] Loss 0.0572, Accuaracy 67.08%
Valid Epoch 26 | [40032/50000 (80.06%)] Loss 0.0572, Accuaracy 67.12%
Valid Epoch 26 | [41632/50000 (83.26%)] Loss 0.0573, Accuaracy 67.10%
Valid Epoch 26 | [43232/50000 (86.46%)] Loss 0.0574, Accuaracy 67.05%
Valid Epoch 26 | [44832/50000 (89.66%)] Loss 0.0575, Accuaracy 67.04%
Valid Epoch 26 | [46432/50000 (92.86%)] Loss 0.0575, Accuaracy 67.05%
Valid Epoch 26 | [48032/50000 (96.06%)] Loss 0.0575, Accuaracy 67.06%
Valid Epoch 26 | [49632/50000 (99.26%)] Loss 0.0575, Accuaracy 67.13%
Valid Epoch 26 | Avarage Loss 0.0575, Average Accuracy 67.12%
Train Epoch 27 | [64/732000 (0.01%)] Loss 0.0039, Accuaracy 90.62%
Train Epoch 27 | [12864/732000 (1.76%)] Loss 0.0040, Accuaracy 91.95%
Train Epoch 27 | [25664/732000 (3.51%)] Loss 0.0039, Accuaracy 92.12%
Train Epoch 27 | [38464/732000 (5.25%)] Loss 0.0040, Accuaracy 92.05%
Train Epoch 27 | [51264/732000 (7.00%)] Loss 0.0040, Accuaracy 91.95%
Train Epoch 27 | [64064/732000 (8.75%)] Loss 0.0041, Accuaracy 91.85%
Train Epoch 27 | [76864/732000 (10.50%)] Loss 0.0041, Accuaracy 91.86%
Train Epoch 27 | [89664/732000 (12.25%)] Loss 0.0041, Accuaracy 91.71%
Train Epoch 27 | [102464/732000 (14.00%)] Loss 0.0041, Accuaracy 91.67%
Train Epoch 27 | [115264/732000 (15.75%)] Loss 0.0042, Accuaracy 91.59%
Train Epoch 27 | [128064/732000 (17.50%)] Loss 0.0042, Accuaracy 91.57%
Train Epoch 27 | [140864/732000 (19.24%)] Loss 0.0042, Accuaracy 91.54%
Train Epoch 27 | [153664/732000 (20.99%)] Loss 0.0042, Accuaracy 91.52%
Train Epoch 27 | [166464/732000 (22.74%)] Loss 0.0043, Accuaracy 91.47%
Train Epoch 27 | [179264/732000 (24.49%)] Loss 0.0043, Accuaracy 91.40%
Train Epoch 27 | [192064/732000 (26.24%)] Loss 0.0043, Accuaracy 91.36%
Train Epoch 27 | [204864/732000 (27.99%)] Loss 0.0043, Accuaracy 91.33%
Train Epoch 27 | [217664/732000 (29.74%)] Loss 0.0043, Accuaracy 91.31%
Train Epoch 27 | [230464/732000 (31.48%)] Loss 0.0043, Accuaracy 91.30%
Train Epoch 27 | [243264/732000 (33.23%)] Loss 0.0043, Accuaracy 91.30%
Train Epoch 27 | [256064/732000 (34.98%)] Loss 0.0043, Accuaracy 91.29%
Train Epoch 27 | [268864/732000 (36.73%)] Loss 0.0044, Accuaracy 91.26%
Train Epoch 27 | [281664/732000 (38.48%)] Loss 0.0044, Accuaracy 91.23%
Train Epoch 27 | [294464/732000 (40.23%)] Loss 0.0044, Accuaracy 91.21%
Train Epoch 27 | [307264/732000 (41.98%)] Loss 0.0044, Accuaracy 91.18%
Train Epoch 27 | [320064/732000 (43.72%)] Loss 0.0044, Accuaracy 91.16%
Train Epoch 27 | [332864/732000 (45.47%)] Loss 0.0044, Accuaracy 91.15%
Train Epoch 27 | [345664/732000 (47.22%)] Loss 0.0044, Accuaracy 91.12%
Train Epoch 27 | [358464/732000 (48.97%)] Loss 0.0044, Accuaracy 91.10%
Train Epoch 27 | [371264/732000 (50.72%)] Loss 0.0045, Accuaracy 91.07%
Train Epoch 27 | [384064/732000 (52.47%)] Loss 0.0045, Accuaracy 91.06%
Train Epoch 27 | [396864/732000 (54.22%)] Loss 0.0045, Accuaracy 91.01%
Train Epoch 27 | [409664/732000 (55.97%)] Loss 0.0045, Accuaracy 90.98%
Train Epoch 27 | [422464/732000 (57.71%)] Loss 0.0045, Accuaracy 90.97%
Train Epoch 27 | [435264/732000 (59.46%)] Loss 0.0045, Accuaracy 90.95%
Train Epoch 27 | [448064/732000 (61.21%)] Loss 0.0045, Accuaracy 90.92%
Train Epoch 27 | [460864/732000 (62.96%)] Loss 0.0046, Accuaracy 90.89%
Train Epoch 27 | [473664/732000 (64.71%)] Loss 0.0046, Accuaracy 90.86%
Train Epoch 27 | [486464/732000 (66.46%)] Loss 0.0046, Accuaracy 90.85%
Train Epoch 27 | [499264/732000 (68.21%)] Loss 0.0046, Accuaracy 90.85%
Train Epoch 27 | [512064/732000 (69.95%)] Loss 0.0046, Accuaracy 90.83%
Train Epoch 27 | [524864/732000 (71.70%)] Loss 0.0046, Accuaracy 90.82%
Train Epoch 27 | [537664/732000 (73.45%)] Loss 0.0046, Accuaracy 90.80%
Train Epoch 27 | [550464/732000 (75.20%)] Loss 0.0046, Accuaracy 90.78%
Train Epoch 27 | [563264/732000 (76.95%)] Loss 0.0046, Accuaracy 90.75%
Train Epoch 27 | [576064/732000 (78.70%)] Loss 0.0046, Accuaracy 90.71%
Train Epoch 27 | [588864/732000 (80.45%)] Loss 0.0047, Accuaracy 90.69%
Train Epoch 27 | [601664/732000 (82.19%)] Loss 0.0047, Accuaracy 90.68%
Train Epoch 27 | [614464/732000 (83.94%)] Loss 0.0047, Accuaracy 90.65%
Train Epoch 27 | [627264/732000 (85.69%)] Loss 0.0047, Accuaracy 90.63%
Train Epoch 27 | [640064/732000 (87.44%)] Loss 0.0047, Accuaracy 90.60%
Train Epoch 27 | [652864/732000 (89.19%)] Loss 0.0047, Accuaracy 90.59%
Train Epoch 27 | [665664/732000 (90.94%)] Loss 0.0047, Accuaracy 90.58%
Train Epoch 27 | [678464/732000 (92.69%)] Loss 0.0047, Accuaracy 90.56%
Train Epoch 27 | [691264/732000 (94.43%)] Loss 0.0047, Accuaracy 90.54%
Train Epoch 27 | [704064/732000 (96.18%)] Loss 0.0047, Accuaracy 90.54%
Train Epoch 27 | [716864/732000 (97.93%)] Loss 0.0047, Accuaracy 90.52%
Train Epoch 27 | [729664/732000 (99.68%)] Loss 0.0048, Accuaracy 90.50%
Train Epoch 27 | Avarage Loss 0.0048, Average Accuracy 90.50%
Valid Epoch 27 | [32/50000 (0.06%)] Loss 0.0616, Accuaracy 68.75%
Valid Epoch 27 | [1632/50000 (3.26%)] Loss 0.0567, Accuaracy 67.34%
Valid Epoch 27 | [3232/50000 (6.46%)] Loss 0.0573, Accuaracy 66.37%
Valid Epoch 27 | [4832/50000 (9.66%)] Loss 0.0572, Accuaracy 66.78%
Valid Epoch 27 | [6432/50000 (12.86%)] Loss 0.0571, Accuaracy 66.85%
Valid Epoch 27 | [8032/50000 (16.06%)] Loss 0.0573, Accuaracy 66.65%
Valid Epoch 27 | [9632/50000 (19.26%)] Loss 0.0572, Accuaracy 66.95%
Valid Epoch 27 | [11232/50000 (22.46%)] Loss 0.0579, Accuaracy 66.85%
Valid Epoch 27 | [12832/50000 (25.66%)] Loss 0.0576, Accuaracy 66.96%
Valid Epoch 27 | [14432/50000 (28.86%)] Loss 0.0580, Accuaracy 66.92%
Valid Epoch 27 | [16032/50000 (32.06%)] Loss 0.0582, Accuaracy 66.91%
Valid Epoch 27 | [17632/50000 (35.26%)] Loss 0.0579, Accuaracy 67.08%
Valid Epoch 27 | [19232/50000 (38.46%)] Loss 0.0580, Accuaracy 67.02%
Valid Epoch 27 | [20832/50000 (41.66%)] Loss 0.0577, Accuaracy 67.09%
Valid Epoch 27 | [22432/50000 (44.86%)] Loss 0.0577, Accuaracy 67.14%
Valid Epoch 27 | [24032/50000 (48.06%)] Loss 0.0578, Accuaracy 67.09%
Valid Epoch 27 | [25632/50000 (51.26%)] Loss 0.0578, Accuaracy 67.12%
Valid Epoch 27 | [27232/50000 (54.46%)] Loss 0.0577, Accuaracy 67.12%
Valid Epoch 27 | [28832/50000 (57.66%)] Loss 0.0579, Accuaracy 67.09%
Valid Epoch 27 | [30432/50000 (60.86%)] Loss 0.0579, Accuaracy 67.05%
Valid Epoch 27 | [32032/50000 (64.06%)] Loss 0.0583, Accuaracy 66.98%
Valid Epoch 27 | [33632/50000 (67.26%)] Loss 0.0582, Accuaracy 66.99%
Valid Epoch 27 | [35232/50000 (70.46%)] Loss 0.0583, Accuaracy 66.95%
Valid Epoch 27 | [36832/50000 (73.66%)] Loss 0.0585, Accuaracy 66.95%
Valid Epoch 27 | [38432/50000 (76.86%)] Loss 0.0588, Accuaracy 66.83%
Valid Epoch 27 | [40032/50000 (80.06%)] Loss 0.0590, Accuaracy 66.82%
Valid Epoch 27 | [41632/50000 (83.26%)] Loss 0.0588, Accuaracy 66.94%
Valid Epoch 27 | [43232/50000 (86.46%)] Loss 0.0587, Accuaracy 66.95%
Valid Epoch 27 | [44832/50000 (89.66%)] Loss 0.0587, Accuaracy 66.99%
Valid Epoch 27 | [46432/50000 (92.86%)] Loss 0.0588, Accuaracy 66.93%
Valid Epoch 27 | [48032/50000 (96.06%)] Loss 0.0589, Accuaracy 66.86%
Valid Epoch 27 | [49632/50000 (99.26%)] Loss 0.0588, Accuaracy 66.88%
Valid Epoch 27 | Avarage Loss 0.0588, Average Accuracy 66.88%
Train Epoch 28 | [64/732000 (0.01%)] Loss 0.0034, Accuaracy 95.31%
Train Epoch 28 | [12864/732000 (1.76%)] Loss 0.0039, Accuaracy 92.40%
Train Epoch 28 | [25664/732000 (3.51%)] Loss 0.0037, Accuaracy 92.66%
Train Epoch 28 | [38464/732000 (5.25%)] Loss 0.0038, Accuaracy 92.48%
Train Epoch 28 | [51264/732000 (7.00%)] Loss 0.0038, Accuaracy 92.36%
Train Epoch 28 | [64064/732000 (8.75%)] Loss 0.0039, Accuaracy 92.27%
Train Epoch 28 | [76864/732000 (10.50%)] Loss 0.0039, Accuaracy 92.16%
Train Epoch 28 | [89664/732000 (12.25%)] Loss 0.0040, Accuaracy 92.12%
Train Epoch 28 | [102464/732000 (14.00%)] Loss 0.0039, Accuaracy 92.15%
Train Epoch 28 | [115264/732000 (15.75%)] Loss 0.0040, Accuaracy 92.06%
Train Epoch 28 | [128064/732000 (17.50%)] Loss 0.0040, Accuaracy 92.01%
Train Epoch 28 | [140864/732000 (19.24%)] Loss 0.0040, Accuaracy 91.95%
Train Epoch 28 | [153664/732000 (20.99%)] Loss 0.0041, Accuaracy 91.89%
Train Epoch 28 | [166464/732000 (22.74%)] Loss 0.0041, Accuaracy 91.90%
Train Epoch 28 | [179264/732000 (24.49%)] Loss 0.0041, Accuaracy 91.85%
Train Epoch 28 | [192064/732000 (26.24%)] Loss 0.0041, Accuaracy 91.81%
Train Epoch 28 | [204864/732000 (27.99%)] Loss 0.0041, Accuaracy 91.75%
